movie_id,title,audience,release_date,country,director,producer,actor1,actor2,actor3,genre,screen,running_time,rating,series,holiday
20149307,로코왕국의 전설: 엘프킹을 찾아서,16070,2014-06-26,중국,위성준,,이선호,배정미,임주현,애니메이션|액션|어드벤처,178,83,전체관람가,,9
20140062,인샬라,7,2014-08-14,캐나다,아나이스 바르보 라발레트,,에블린 브로처,시반 레비,사브리나 오아자니,드라마,1,101,청소년관람불가,,13
19900276,엘비라 마디간,179,1974-01-01,스웨덴,보 비더버그,,피아 디거마크,토미 베그렌,,드라마|사극|전쟁,1,90,고등학생이상관람가,,11
20140302,그랜드 시덕션,10,2014-08-07,캐나다,돈 맥켈러,,브렌단 글리슨,테일러 키취,,코미디,1,113,15세이상관람가,,10
20131541,블루 재스민,144664,2013-09-25,미국,우디 앨런,,케이트 블란쳇,알렉 볼드윈,,드라마,207,98,15세이상관람가,,10
20010280,키스 오브 드래곤,10,2001-11-23,프랑스,크리스 나흔,,이연걸,,,액션,1,98,18세관람가,,10
19990385,쓰리 킹즈,,2000-02-12,미국,데이빗 O. 러셀,워너 브러더스 픽쳐스,조지,마크,아이스,전쟁|코미디|액션,,115,18세관람가,,11
20090332,신주쿠 사건,43516,2009-06-18,홍콩,이동승,,성룡,판빙빙,타케나카 나오토,액션|드라마|범죄,104,119,청소년관람불가,,9
20130706,미스체인지,6054,2013-09-05,한국,정초신,브런치메이트필름(주),송삼동,이수정,정은우,코미디,41,100,청소년관람불가,,13
20139461,뫼비우스,35348,2013-09-05,한국,김기덕,(주)김기덕 필름,조재현,서영주,이나라,드라마,128,87,청소년관람불가,,13
